"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"2","Accrington Stanley",30,16,23,1.1999619564,1.28470593289565,1.09776630422609,1.18251028072174,12.8695652173913,12.7391304347826,4,11.304347826087,11.1739130434783,3.73913043478261,18.6745829011435,17.3546482826659,406.260869565217,0.614190924657534,24.7496069319777
"19","Barnet",35,10,24,1.62805481767083,1.04850229005417,1.46482565100417,0.950564790054167,14.4583333333333,14.25,4.95833333333333,9.79166666666667,9.66666666666667,3.08333333333333,16.1921483854721,18.799134060214,436.125,0.680233113595108,23.5257991827314
"23","Barrow",24,19,24,1.1488844231875,1.55839167474167,1.1488844231875,1.493100008075,11.0416666666667,11.0416666666667,3.20833333333333,15.0416666666667,14.9583333333333,5.20833333333333,17.158162130093,18.1526633040834,397.791666666667,0.661778569184037,24.5354411819734
"35","Bristol Rovers",21,20,24,1.17349978005417,1.3362643782875,1.14085394672083,1.17303521162083,11.0416666666667,11,2.66666666666667,11.75,11.5416666666667,4,16.5674016735382,17.2686997869335,419.375,0.672925981122702,24.8717422087074
"41","Bromley",45,2,23,1.44324396293478,1.2125844176087,1.37511352815217,1.17851920021739,13.4782608695652,13.3913043478261,4.30434782608696,10.3478260869565,10.304347826087,3.39130434782609,16.9806889915025,17.0115368437076,338.260869565217,0.533933161953728,27.4448661313239
"43","Cambridge United",38,8,23,1.20495500865652,0.874751069347826,1.17088979126522,0.806620634565217,11.0434782608696,11,3.26086956521739,8.43478260869565,8.34782608695652,3,16.6765087338169,18.0311727256535,404.086956521739,0.631697869593286,24.9605884475597
"49","Cheltenham Town",27,18,23,0.778754330486957,1.62219227206957,0.744689113095652,1.45186618511304,9.73913043478261,9.69565217391304,2.65217391304348,16,15.7826086956522,5.34782608695652,20.5702517875451,17.6299302976743,397.608695652174,0.659923455440131,25.0794301076184
"55","Chesterfield",39,7,24,1.30710260749583,1.43824127417917,1.2744567741625,1.24236627417917,11.5,11.4583333333333,3.83333333333333,10.7083333333333,10.4583333333333,3.95833333333333,16.7951577391788,16.7566316020834,517.125,0.74820723551688,22.8718836726009
"59","Colchester United",36,9,24,1.46650425089167,1.03327021835833,1.303275084225,1.000624385025,11.5833333333333,11.375,4.16666666666667,11.0833333333333,11.0416666666667,3.41666666666667,17.5934584854781,17.555796398278,445.416666666667,0.728250701590271,23.0653344237278
"62","Crawley Town",19,21,24,1.44462091269583,1.37062278839583,1.28139174602917,1.27268528839583,14,13.7916666666667,4.5,12.4583333333333,12.3333333333333,4.66666666666667,18.2891138077579,17.6410256919362,488,0.745645491803279,22.4674934477041
"64","Crewe Alexandra",32,14,23,1.29761236233478,1.31666038944783,1.12728627537826,1.21446473727391,12.4782608695652,12.2608695652174,4.04347826086957,13.6086956521739,13.4782608695652,4.47826086956522,17.9227369441106,17.9563899710792,420.782608695652,0.678342632775367,24.3800262307863
"85","Fleetwood Town",34,12,24,1.34325639359167,1.427637363975,1.24531889359167,1.329699863975,12.0833333333333,11.9583333333333,4.29166666666667,14.9166666666667,14.7916666666667,3.95833333333333,17.340566550849,18.2996807819974,399.125,0.657479903956572,25.4705694613425
"95","Gillingham",32,15,24,1.33564398226667,1.29458115725,1.04183148226667,1.16399782391667,12.8333333333333,12.4583333333333,4,12.375,12.2083333333333,3.375,16.9154849364823,17.9383025743865,351.25,0.588256227758007,26.7756429255931
"99","Grimsby Town",34,11,24,1.6163061855375,0.944864548633333,1.38778535220417,0.9122187153,13.9583333333333,13.6666666666667,4.45833333333333,9.41666666666667,9.375,3.20833333333333,17.7962946266456,17.571934882809,478.291666666667,0.713041205679937,22.6306010643479
"108","Harrogate Town",17,24,23,0.882266318073913,1.80747463893478,0.814135883291304,1.67121376936957,9.65217391304348,9.56521739130435,3.08695652173913,16.6086956521739,16.4347826086957,4.82608695652174,19.8457770454005,17.2884189370471,416.260869565217,0.650407353248381,24.2107438843994
"127","Milton Keynes Dons",40,5,24,1.3663452822125,1.114645468075,1.23576194887917,1.016707968075,11.75,11.5833333333333,4.29166666666667,10.3333333333333,10.2083333333333,3.33333333333333,16.9631757264076,18.1576557003368,407.875,0.655020941873532,23.8694019408315
"133","Newport County AFC",17,23,23,1.05560522875652,1.53328100203913,0.987474793973913,1.39702013247391,10.5652173913043,10.4782608695652,3.43478260869565,14.5217391304348,14.3478260869565,4.52173913043478,18.5476447888338,17.1438866295035,406.217391304348,0.691854864604517,24.8778409915038
"139","Notts County",39,6,23,1.08902939876957,1.10347732621304,1.02089896398696,1.03534689143043,10.5217391304348,10.4347826086957,4,10.0434782608696,9.95652173913044,3.30434782608696,18.2752199890272,17.8113008215267,494.869565217391,0.748023194517659,21.7951786956844
"145","Oldham Athletic",32,13,24,1.45799940501667,1.11884957112917,1.36006190501667,1.0535579044625,14.4166666666667,14.2916666666667,4.29166666666667,12.0416666666667,11.9583333333333,3.375,17.6281903760085,17.831376582715,382.291666666667,0.62408719346049,25.676613348715
"156","Salford City",43,4,24,1.69421119519583,1.3070027843125,1.49833619519583,1.17641945097917,14.625,14.375,4.875,12.0416666666667,11.875,4.125,17.7166893136698,17.1918796308427,388.291666666667,0.636334370640627,25.2710005562882
"160","Shrewsbury Town",19,22,24,0.8746056392875,1.22682784912917,0.8746056392875,1.12889034912917,11.4166666666667,11.4166666666667,2.75,12.2083333333333,12.0833333333333,4.20833333333333,18.650136169899,18.5532824983311,380.583333333333,0.628092839938691,26.0112826765711
"180","Swindon Town",46,1,24,1.3694464444625,1.1566349629125,1.30415477779583,1.12398912957917,12.5416666666667,12.4583333333333,4.54166666666667,11.4583333333333,11.4166666666667,3.375,17.9641059786375,17.8409868372418,450.083333333333,0.698852064432512,24.6830881204305
"188","Tranmere Rovers",29,17,23,1.16588175645217,1.46784327632609,1.09775132166957,1.33158240676087,12.695652173913,12.6086956521739,3.69565217391304,14.0869565217391,13.9130434782609,4.39130434782609,18.6315246992617,17.4622497249815,415.260869565217,0.664956549052455,24.9529571415559
"192","Walsall",43,3,23,1.12565698076957,0.950583055413044,1.12565698076957,0.882452620630435,11.1304347826087,11.1304347826087,4.04347826086957,11.3478260869565,11.2608695652174,3.21739130434783,17.0505610429408,18.3452948504606,324.130434782609,0.606841046277666,26.9215632447887
