"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"3","Accrington Stanley",17,18,16,1.20985184861875,1.30365385509375,1.11191434861875,1.15674760509375,12.9375,12.8125,4.0625,11.25,11.0625,3.5625,18.5462309318713,17.1377131428184,385.5,0.608300907911803,25.241580280869
"16","Barnet",22,12,15,1.53357171354667,1.08300979584,1.42910504688,0.92630979584,14.3333333333333,14.2,5.06666666666667,9.46666666666667,9.26666666666667,2.73333333333333,16.5808150512494,19.138812108567,452.533333333333,0.694313494401886,23.06243813283
"23","Barrow",19,16,16,0.98958481521875,1.50912334608125,0.98958481521875,1.50912334608125,9.9375,9.9375,2.625,15.375,15.375,5,17.3148797145825,18.0789106064264,367.625,0.643318599115947,24.9156132207242
"39","Bristol Rovers",17,19,16,1.12251329885625,1.3392465464125,1.07354454885625,1.1923402964125,10.4375,10.375,2.4375,11.8125,11.625,4.125,15.8879025513766,16.9701234986134,406,0.672413793103448,25.2946267442488
"43","Bromley",27,5,16,1.3852406021375,1.04135976595,1.2873031021375,0.99239101595,13.75,13.625,4.0625,10.125,10.0625,3.375,16.9045179002935,16.99072013235,348.5625,0.553882015420477,27.10764362591
"47","Cambridge United",22,13,15,1.10833890842,0.766584654526667,1.10833890842,0.714351321193333,11.5333333333333,11.5333333333333,3,7.33333333333333,7.26666666666667,2.73333333333333,17.0934479279446,17.97783555893,413.4,0.634897597161748,24.9280888617352
"55","Cheltenham Town",14,23,16,0.76137363439375,1.70202981705,0.76137363439375,1.55512356705,9.3125,9.3125,2.625,17.5,17.3125,5.75,20.5285405773433,17.5876526338642,386.1875,0.657549765334197,25.5970947295954
"59","Chesterfield",27,6,16,1.3209597476125,1.34346827190625,1.2719909976125,1.14759327190625,11.6875,11.625,3.875,10,9.75,4.0625,16.5478463135355,17.0341488936543,512.9375,0.752406482271232,22.8107905764165
"65","Colchester United",18,17,15,1.45537546082667,1.02702578468,1.35090879416,1.02702578468,12.2666666666667,12.1333333333333,4.4,10.6,10.6,3.26666666666667,17.660533529607,16.9902798184225,476.8,0.749161073825503,22.7469973419533
"71","Crawley Town",16,20,16,1.4375634111125,1.2181589103875,1.2416884111125,1.1202214103875,14.5625,14.3125,4.4375,12.1875,12.0625,4.5,18.3543813046312,17.4511726669339,504.25,0.767972235994051,22.044742595378
"75","Crewe Alexandra",26,8,16,1.31471343453125,1.18311953088125,1.16780718453125,1.08518203088125,12.5625,12.375,3.8125,13,12.875,4.125,17.9108611867034,18.2197903973709,419.5625,0.676001787576344,24.4871047015567
"93","Fleetwood Town",23,11,16,1.378461025,1.46403135961875,1.280523525,1.36609385961875,12.3125,12.1875,4.125,15.4375,15.3125,4.4375,16.6662135048317,17.9969123925973,397.75,0.670961659333752,25.5772053535827
"106","Gillingham",26,7,16,1.41429300003125,1.28500723399375,1.07151175003125,1.18706973399375,12.5,12.0625,4.25,12.5625,12.4375,3.5,16.2310006453332,17.9720946806924,343.5,0.583697234352256,27.2262936431496
"111","Grimsby Town",25,10,16,1.69922769028125,0.9934654315,1.45438394028125,0.9444966815,14.8125,14.5,4.875,9.875,9.8125,3.1875,17.9706098535317,17.2307079251838,478.6875,0.72737955346651,22.5750476064303
"120","Harrogate Town",14,22,15,0.96272444882,1.75154210977333,0.910491115486667,1.75154210977333,10.4,10.3333333333333,3.46666666666667,16.1333333333333,16.1333333333333,4.2,19.785181820642,17.0730305275337,432.666666666667,0.674576271186441,24.0514717949522
"143","Milton Keynes Dons",28,3,16,1.10864211308125,1.1057314374125,1.01070461308125,1.0077939374125,10.3125,10.1875,3.9375,10.375,10.25,3.4375,16.6232551354453,17.5768829547855,405.75,0.65973505853358,24.0174561920518
"152","Newport County AFC",11,24,16,1.10354906626875,1.56129059356875,1.00561156626875,1.36541559356875,10.125,10,3.3125,14.0625,13.8125,4.375,18.1695573799305,16.9598478650375,401.625,0.684873949579832,25.1676047904793
"159","Notts County",27,4,15,1.08926965446,0.990583228133333,1.03703632112667,0.9383498948,10.4666666666667,10.4,4.46666666666667,9.93333333333333,9.86666666666667,3.26666666666667,18.2812580344915,18.1736129760267,500.533333333333,0.75546084176878,21.3032130946031
"165","Oldham Athletic",20,14,16,1.45854951865625,1.166649300575,1.36061201865625,1.068711800575,13.9375,13.8125,3.5625,12.5625,12.4375,3.4375,16.9819997682027,17.758054623314,395.1875,0.637988296694607,25.4133302980326
"182","Salford City",26,9,16,1.5673999039625,1.41637395789375,1.3715249039625,1.26946770789375,14.0625,13.8125,4.4375,12.125,11.9375,3.9375,17.629945472032,16.326238532054,392.5,0.64187898089172,25.4491089465048
"187","Shrewsbury Town",16,21,16,0.86930311995625,1.070331579525,0.86930311995625,1.070331579525,11.625,11.625,2.8125,11.75,11.75,4.25,18.3269010511124,18.947591035683,375.875,0.639341536415032,25.9686225420353
"210","Swindon Town",30,1,16,1.424843866675,1.13176307848125,1.375875116675,1.13176307848125,12.9375,12.875,4.9375,10.625,10.625,3.4375,17.8346269618581,17.9238765024978,463.75,0.713072776280323,24.7282530831388
"218","Tranmere Rovers",19,15,16,1.051063044675,1.40003262954375,1.051063044675,1.25312637954375,11.875,11.875,3.25,13.9375,13.75,4.0625,18.3961983511207,17.4592405785283,410.0625,0.661179698216735,25.2022806979119
"224","Walsall",29,2,15,1.12378340180667,0.995434276466667,1.12378340180667,0.8909676098,11.2666666666667,11.2666666666667,4.4,11.6,11.4666666666667,3.13333333333333,17.0205420270462,17.8115589929179,311.6,0.603337612323492,27.0665348716089
