"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"3","Accrington Stanley",13,21,14,1.13244378535714,1.21344521114286,1.02051521392857,1.10151663971429,13,12.8571428571429,3.71428571428571,10.9285714285714,10.7857142857143,3.5,18.6736001077381,17.2206260176995,391.214285714286,0.607814496987402,25.3125720599598
"16","Barnet",21,12,14,1.4961008659,1.12032214152143,1.44013658018571,0.952429284378571,14.5,14.4285714285714,5.07142857142857,9.64285714285714,9.42857142857143,2.64285714285714,16.5641584832349,19.1365890054434,458.285714285714,0.699501246882793,23.0333899697085
"23","Barrow",18,15,14,1.03687951367857,1.43891556452143,1.03687951367857,1.43891556452143,10.0714285714286,10.0714285714286,2.57142857142857,15.2857142857143,15.2857142857143,4.85714285714286,16.9989400731571,18.3341489581047,366.642857142857,0.645431521527372,24.923677569511
"39","Bristol Rovers",17,16,14,1.08450891894286,1.34393174729286,1.02854463322857,1.23200317586429,9.92857142857143,9.85714285714286,2.42857142857143,12.3571428571429,12.2142857142857,4.21428571428571,15.5237080946759,16.9380396923197,385.857142857143,0.665124028137727,25.8882868068567
"43","Bromley",21,11,14,1.44471644245714,1.09431455567143,1.33278787102857,1.03835026995714,14.0714285714286,13.9285714285714,3.92857142857143,10.3571428571429,10.2857142857143,3.57142857142857,16.8576650051726,16.8737208867221,349.071428571429,0.555555555555556,27.2754959078576
"47","Cambridge United",21,13,14,1.15777033752857,0.778000069514286,1.15777033752857,0.7220357838,11.7142857142857,11.7142857142857,3.07142857142857,7.42857142857143,7.35714285714286,2.85714285714286,17.0001592197925,17.9924961734659,417.071428571429,0.638294228463778,24.8082512470663
"55","Cheltenham Town",14,20,14,0.682713785192857,1.76666799841429,0.682713785192857,1.59877514127143,9.07142857142857,9.07142857142857,2.57142857142857,17.7857142857143,17.5714285714286,6.14285714285714,20.719968298749,17.6838597038837,373.357142857143,0.644346661564951,26.0204473568337
"59","Chesterfield",23,7,14,1.25653123842857,1.29254191077857,1.25653123842857,1.06868476792143,11.5,11.5,3.92857142857143,9.5,9.21428571428571,3.78571428571429,16.5555284395381,16.9283755643651,523.642857142857,0.758286727595144,22.6925560306438
"65","Colchester United",18,14,14,1.487709319,1.05558094037857,1.37578074757143,1.05558094037857,12.4285714285714,12.2857142857143,4.57142857142857,10.7857142857143,10.7857142857143,3.21428571428571,17.8054226813939,16.9587352026735,467.357142857143,0.748891945590708,22.8177693702659
"71","Crawley Town",12,23,14,1.39319209085714,1.1907937279,1.169334948,1.13482944218571,13.7857142857143,13.5,4.07142857142857,12.1428571428571,12.0714285714286,4.35714285714286,18.0772598150039,17.9629681951053,498.428571428571,0.759386643737461,22.4819437173273
