"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"5","Accrington Stanley",43,12,29,1.22766377116552,1.37752216118966,1.14661204702759,1.29647043705172,15.2068965517241,15.1034482758621,5,13.3448275862069,13.2413793103448,3.82758620689655,19.5178014576306,17.6100176629888,1113.55172413793,0.672963180875112,26.2303285541758
"18","Barnet",43,11,29,1.6322604393069,1.02632162122069,1.47015699103103,0.945269897082759,14.4827586206897,14.2758620689655,4.86206896551724,9.75862068965517,9.6551724137931,3.17241379310345,16.3983660270784,18.2678969537759,443.172413793103,0.685340802987862,23.4099878665344
"24","Barrow",24,21,28,1.16998572234286,1.54879080231429,1.16998572234286,1.4928265166,11.25,11.25,3.28571428571429,14.5714285714286,14.5,5.07142857142857,17.0839953223589,17.8475318504759,404.857142857143,0.665137614678899,24.3273347311486
"42","Bristol Rovers",27,19,30,1.09548144088,1.34972899563667,1.06936477421333,1.21914566230333,11,10.9666666666667,2.83333333333333,11.6666666666667,11.5,3.9,16.9679352224575,17.4022043366301,404.466666666667,0.658068238008901,25.2143233212832
"46","Bromley",62,1,30,1.43517901078,1.21201730529667,1.35682901078,1.18590063863,13.3,13.2,4.43333333333333,10.8666666666667,10.8333333333333,3.66666666666667,16.7043948896048,17.1681452009009,334.033333333333,0.527392475800818,27.4180129160962
"55","Cambridge United",53,5,29,1.33283584643103,0.883625425831035,1.2517841222931,0.775556460313793,11.1034482758621,11,3.55172413793103,8.27586206896552,8.13793103448276,3,16.3592961063046,18.0614325700333,428.448275862069,0.650382293762576,24.8216596996596
"69","Cheltenham Town",30,18,29,0.921446549055172,1.60888642672759,0.867412066296552,1.47380021983103,10.2068965517241,10.1379310344828,2.89655172413793,15.551724137931,15.3793103448276,5.44827586206897,19.9410579335987,17.7131129501271,408.068965517241,0.670525604191313,24.95285295169
"73","Chesterfield",48,8,30,1.28817316829,1.35742063397667,1.26205650162333,1.17460396731,11.2333333333333,11.2,3.83333333333333,10.9,10.6666666666667,3.76666666666667,16.8265554027069,16.7352264018781,516.1,0.743395982690693,22.9738094896855
"77","Colchester United",42,13,28,1.46101479792857,0.963881277810714,1.32110408364286,0.935899134953571,12.0714285714286,11.8928571428571,3.96428571428571,10.5,10.4642857142857,3.10714285714286,17.6469037824886,17.664732404564,458,0.734638178415471,22.8363834440034
"80","Crawley Town",26,20,30,1.33822408684,1.32601808278,1.20764075350667,1.24766808278,13.8333333333333,13.6666666666667,4.4,12.5,12.4,4.6,18.4322049536983,17.723090059255,479.166666666667,0.740869565217391,22.8463851279026
"84","Crewe Alexandra",47,9,31,1.30091862372903,1.3022000821,1.1745476559871,1.22637750145484,12.3225806451613,12.1612903225806,3.90322580645161,13.5483870967742,13.4516129032258,4.2258064516129,17.9224610139636,17.9077666474724,423.290322580645,0.683051364121323,24.2070273390642
"109","Fleetwood Town",37,15,29,1.32422919026552,1.39412552141724,1.21616022474828,1.31307379727931,11.8275862068966,11.6896551724138,4.10344827586207,14.3448275862069,14.2413793103448,3.89655172413793,17.4438897527766,18.2655499040066,406.48275862069,0.654648795385137,25.3558522773753
"122","Gillingham",38,14,28,1.57745678123929,1.407509705825,1.26965320981071,1.29558113439643,15.2857142857143,14.8928571428571,4.46428571428571,15.2857142857143,15.1428571428571,4.35714285714286,17.3355835851346,18.2520688760484,829.75,0.701975638100977,25.9178411788706
"125","Grimsby Town",45,10,29,1.54566663495862,1.04691689994138,1.32952870392414,0.965865175803448,13.7241379310345,13.448275862069,4.24137931034483,10.2068965517241,10.1034482758621,3.17241379310345,17.6487852783257,17.7139105555415,469,0.704580545548121,22.9355322539152
"132","Harrogate Town",21,24,31,0.918513025358064,1.80594598297097,0.86796463826129,1.65430082168065,10.741935483871,10.6774193548387,3.19354838709677,17,16.8064516129032,5.12903225806452,19.3982852714827,17.2803185852826,414.677419354839,0.649085958770906,24.1630117812874
"158","Milton Keynes Dons",54,4,30,1.43199329705333,1.07013512325667,1.27529329705333,0.991785123256667,11.8666666666667,11.6666666666667,4.33333333333333,10.7333333333333,10.6333333333333,3.26666666666667,17.0417820402861,18.5628271812697,396.633333333333,0.645264307925036,24.1361201228086
"166","Newport County AFC",21,23,29,1.04019593044138,1.56845260575517,0.959144206303448,1.40634915747931,10.5862068965517,10.4827586206897,3.48275862068966,14.4827586206897,14.2758620689655,4.6551724137931,18.6256182357323,16.939997210923,407,0.692535795984072,24.747291629806
"172","Notts County",57,2,30,1.18106513217667,1.00000545825333,1.12883179884333,0.94777212492,11.1,11.0333333333333,4,9.73333333333333,9.66666666666667,3.2,17.694087468968,18.4618411440631,496.033333333333,0.749546401451515,21.5223087392064
"178","Oldham Athletic",35,16,28,1.78855454870714,1.65057598228929,1.48075097727857,1.51066526800357,17.1071428571429,16.7142857142857,5.5,14,13.8214285714286,5.21428571428571,17.4898934016725,17.2976121005913,1221.03571428571,0.727748691099476,23.3101541041973
"208","Salford City",52,6,29,1.65104962452069,1.21292941101379,1.48894617624483,1.10486044549655,14.4827586206897,14.2758620689655,4.82758620689655,11.9310344827586,11.7931034482759,4.10344827586207,17.760274129564,18.0377204612976,385.551724137931,0.629907879438333,25.4613716036938
"218","Shrewsbury Town",23,22,28,0.844634537157143,1.29959671054643,0.844634537157143,1.15968599626071,11.5,11.5,2.89285714285714,12.2857142857143,12.1071428571429,4.42857142857143,18.8104917538746,18.4492919757957,378.464285714286,0.633198074926866,25.8724319869491
"236","Swindon Town",55,3,30,1.77190389335333,1.62408696911333,1.69355389335333,1.38903696911333,14.9666666666667,14.8666666666667,6.2,15.3333333333333,15.0333333333333,4.76666666666667,17.6568097222526,17.3859899462537,1335.96666666667,0.754310237281369,23.499729793928
"242","Tranmere Rovers",32,17,29,1.14350189847241,1.43992401822759,1.08946741571379,1.33185505271034,12.6551724137931,12.5862068965517,3.75862068965517,14.0689655172414,13.9310344827586,4.31034482758621,18.3540762631192,17.4235599666841,413.689655172414,0.648495457197633,24.8515375564725
"246","Walsall",49,7,29,1.09015634043448,0.995965939824138,1.06313909905517,0.941931457065517,10.9310344827586,10.8965517241379,3.72413793103448,11.551724137931,11.4827586206897,3.41379310344828,17.0917900335852,18.3661673784796,327.827586206897,0.596823393289155,26.5840200278216
