"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"2","Accrington Stanley",24,16,19,1.1211451292,1.24934098652632,1.03867144498947,1.12563046021053,12.2105263157895,12.1052631578947,3.89473684210526,11.1578947368421,11,3.52631578947368,18.6058062859668,17.4255526612592,388.684210526316,0.60988490182803,24.9731925758158
"14","Barnet",28,11,19,1.62396438587895,1.00887283885263,1.45901701745789,0.885162312536842,14.6315789473684,14.4210526315789,5.10526315789474,9.52631578947368,9.36842105263158,2.73684210526316,16.558555279694,19.2008523342708,442.210526315789,0.684717924303737,23.3475148828434
"20","Barrow",20,18,19,0.977077909884211,1.54282151353158,0.977077909884211,1.46034782932105,10.3157894736842,10.3157894736842,2.73684210526316,14.6842105263158,14.5789473684211,5.10526315789474,17.1952080350144,18.1403729820287,389.631578947368,0.664865595029042,24.6201346703093
"35","Bristol Rovers",17,22,19,1.15774935303684,1.31145442775263,1.11651251093158,1.14650705933158,11.2631578947368,11.2105263157895,2.57894736842105,11.4736842105263,11.2631578947368,4.05263157894737,16.2643867004191,17.1788896114875,422.052631578947,0.681755829903978,24.9255786669959
"38","Bromley",33,4,19,1.39828248923158,1.19697482587895,1.31580880502105,1.15573798377368,13.5789473684211,13.4736842105263,4.05263157894737,10.2631578947368,10.2105263157895,3.57894736842105,16.7866427027298,16.797006426549,340.210526315789,0.546256188118812,27.3722398672184
"42","Cambridge United",30,6,19,1.22081585581579,0.755855235615789,1.17957901371053,0.714618393510526,11.6842105263158,11.6315789473684,3.47368421052632,7.52631578947368,7.47368421052632,2.94736842105263,16.8160319853307,17.8267148631843,409.263157894737,0.634645061728395,24.9669263157948
"48","Cheltenham Town",20,19,19,0.698724265336842,1.63682089041053,0.698724265336842,1.47187352198947,9.10526315789474,9.10526315789474,2.57894736842105,16.5789473684211,16.3684210526316,5.26315789473684,20.7347881362746,17.7523744836137,392.578947368421,0.655851990883496,25.4144869733436
"51","Chesterfield",29,9,19,1.25792478832632,1.45206899590526,1.21668794622105,1.24588478537895,11.5789473684211,11.5263157894737,3.94736842105263,10.8947368421053,10.6315789473684,4.47368421052632,16.5985301782433,17.0144825899021,519.526315789474,0.748657684125215,23.0537816088188
"56","Colchester United",28,10,19,1.41392084538421,0.991452907889474,1.29021031906842,0.991452907889474,11.3684210526316,11.2105263157895,4.10526315789474,11,11,3.05263157894737,17.3429245100902,17.2764411267976,449.210526315789,0.735442296426479,23.0722243690275
"62","Crawley Town",17,21,19,1.42121373237368,1.36558191211053,1.21502952184737,1.2831082279,14,13.7368421052632,4.47368421052632,12.3684210526316,12.2631578947368,4.68421052631579,18.4008410593745,17.2860392802611,499.789473684211,0.76421651221567,22.1146170239585
"65","Crewe Alexandra",28,12,19,1.36116584066316,1.22091415243684,1.19621847224211,1.09720362612105,12.9473684210526,12.7368421052632,4.15789473684211,12.9473684210526,12.7894736842105,4.36842105263158,17.7456875273753,17.9148675627847,421.684210526316,0.671617573639541,24.4071559986957
"81","Fleetwood Town",27,14,19,1.30661299587368,1.47214438252105,1.22413931166316,1.34843385620526,11.8947368421053,11.7894736842105,4.15789473684211,15.4736842105263,15.3157894736842,4.31578947368421,17.0675834622178,18.5485953711551,398.684210526316,0.662178217821782,25.5895795208185
"93","Gillingham",29,8,19,1.37126573992632,1.29069889643158,1.04137100308421,1.20822521222105,12.5263157894737,12.1052631578947,4.10526315789474,12.8947368421053,12.7894736842105,3.42105263157895,16.4475872528384,17.8794862593502,352.947368421053,0.588875633760811,26.9118192458619
"97","Grimsby Town",27,13,19,1.71731406882105,0.956720848426316,1.42865617408421,0.915484006321053,14.6315789473684,14.2631578947368,4.84210526315789,9.73684210526316,9.68421052631579,3.10526315789474,17.9483416861087,17.3298841843324,479.842105263158,0.723154546451684,22.4672161475979
"105","Harrogate Town",16,23,19,0.853228029710526,1.70326338658421,0.811991187605263,1.62078970237368,9.52631578947368,9.47368421052632,3,15.8421052631579,15.7368421052632,4.36842105263158,19.9015898435752,16.9601457802361,422.526315789474,0.662556053811659,24.2324529084753
"127","Milton Keynes Dons",32,5,19,1.27753679262632,1.07492149383158,1.11258942420526,0.992447809621053,11.2105263157895,11,4,10.2105263157895,10.1052631578947,3.63157894736842,16.6670897265252,17.9005649973674,414.684210526316,0.660489909887041,23.932289072065
"134","Newport County AFC",13,24,19,1.04936975811053,1.51056737216842,0.9668960739,1.34562000374737,10.2105263157895,10.1052631578947,3.47368421052632,14.4210526315789,14.2105263157895,4.47368421052632,18.5099971048662,17.1084604360772,406.157894736842,0.691071659971492,25.1228363850745
"140","Notts County",34,2,19,1.15200436441579,1.10615016411053,1.06953068020526,1.0236764799,10.6315789473684,10.5263157894737,4.36842105263158,10.2631578947368,10.1578947368421,3.42105263157895,17.8851593988802,17.4779874519925,500.947368421053,0.753939903341038,21.3893395581299
"146","Oldham Athletic",23,17,19,1.41688624247895,1.08583439205789,1.33441255826842,1.00336070784737,14.1578947368421,14.0526315789474,3.84210526315789,11.8421052631579,11.7368421052632,3.21052631578947,17.2668492734965,18.009109933696,399.315789473684,0.637274284961118,25.4486882133202
"161","Salford City",30,7,19,1.66273127308947,1.34520038114737,1.49778390466842,1.18025301272632,14.3157894736842,14.1052631578947,4.52631578947368,12,11.7894736842105,3.89473684210526,17.9995709329103,16.7703441621351,391.684210526316,0.644181671593658,25.2767232174214
"166","Shrewsbury Town",18,20,19,0.890538926857895,1.19248863721579,0.890538926857895,1.11001495300526,11.7894736842105,11.7894736842105,2.84210526315789,12.2105263157895,12.1052631578947,4.21052631578947,18.7280672891254,18.7063505530348,374.052631578947,0.633741381736316,26.1358570378219
"188","Swindon Town",34,3,19,1.37638847144211,1.16851529831053,1.33515162933684,1.12727845620526,12.6842105263158,12.6315789473684,4.68421052631579,10.9473684210526,10.8947368421053,3.52631578947368,17.8197764306606,18.0509586822548,459.894736842105,0.703250171663996,24.8664428790215
"195","Tranmere Rovers",26,15,19,1.06902331764211,1.36446339110526,0.986549633431579,1.24075286478947,11.4736842105263,11.3684210526316,3.31578947368421,13.9473684210526,13.7894736842105,4.05263157894737,18.7176142723831,17.5641118142619,403.578947368421,0.656494522691706,25.4394149268388
"200","Walsall",38,1,19,1.17148792830526,0.963245173610526,1.17148792830526,0.8807714894,11.5263157894737,11.5263157894737,4.21052631578947,11.0526315789474,10.9473684210526,3.05263157894737,17.1654758858145,17.7841212893308,322.789473684211,0.604271971302788,27.0827399298712
