"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"3","Accrington Stanley",27,17,22,1.13835054262273,1.32004298382273,1.06712326989545,1.21320207473182,12.2727272727273,12.1818181818182,3.81818181818182,11.4090909090909,11.2727272727273,3.77272727272727,18.5846657893928,17.110962035956,400.227272727273,0.612606473594549,24.7602790655764
"16","Barnet",28,16,21,1.64520978340476,1.0598210961,1.49597168816667,0.947892524671429,14.5238095238095,14.3333333333333,5.14285714285714,9.71428571428571,9.57142857142857,3,16.3482325785684,18.9502773441211,445.857142857143,0.689095375413863,23.2916437088166
"22","Barrow",21,19,22,1.14207908557273,1.53684747476364,1.14207908557273,1.46562020203636,11,11,3,14.7727272727273,14.6818181818182,5.09090909090909,16.9877984353012,18.2988005363333,401.272727272727,0.662890801993657,24.5661879207408
"34","Bristol Rovers",18,22,22,1.17575812628636,1.31655983221364,1.14014448992273,1.17410528675909,11.3181818181818,11.2727272727273,2.54545454545455,11.9090909090909,11.7272727272727,4.18181818181818,16.61116649006,17.3867961773277,421.045454545455,0.678937709165497,24.8390548775386
"38","Bromley",42,1,22,1.42812512516818,1.23441677159091,1.35689785244091,1.19880313522727,13.4545454545455,13.3636363636364,4.27272727272727,10.3181818181818,10.2727272727273,3.36363636363636,16.7130792259784,16.7697552641001,338.590909090909,0.536582091555914,27.4052756748154
"40","Cambridge United",34,8,21,1.22813120284762,0.770625702595238,1.1908216790381,0.733316178785714,11.5714285714286,11.5238095238095,3.47619047619048,7.85714285714286,7.80952380952381,3,16.7763124941912,18.0363863910188,407,0.633555633555634,24.9539626806622
"47","Cheltenham Town",27,18,22,0.798108846036364,1.6286930127,0.762495209672727,1.45062483088182,9.81818181818182,9.77272727272727,2.77272727272727,16.1363636363636,15.9090909090909,5.22727272727273,20.5322136007679,17.6786903184537,392.454545454545,0.654389622422979,25.2513074280947
"51","Chesterfield",38,6,22,1.29595843657273,1.40713120525,1.26034480020909,1.22906302343182,11.5,11.4545454545455,3.90909090909091,10.8636363636364,10.6363636363636,4.13636363636364,16.8459497021464,16.8997172296126,516.409090909091,0.748173576269695,22.9351525623317
"57","Colchester United",32,10,22,1.46555615465909,1.01724758840455,1.35871524556818,0.981633952040909,11.5,11.3636363636364,4.22727272727273,10.9545454545455,10.9090909090909,3.31818181818182,17.338554193077,17.6333427999103,445.272727272727,0.730298080849326,23.160252653088
"62","Crawley Town",19,20,22,1.45450178769091,1.33784535418182,1.27643360587273,1.23100444509091,14.0909090909091,13.8636363636364,4.45454545454545,12.1363636363636,12,4.59090909090909,18.1982324169661,17.4732890585932,494.181818181818,0.7560706401766,22.1942387104038
"66","Crewe Alexandra",32,11,21,1.35252397103333,1.24478460526667,1.16597635198571,1.1328560338381,12.6190476190476,12.3809523809524,4.14285714285714,13.2857142857143,13.1428571428571,4.33333333333333,17.7529342059909,18.2255567518393,408.761904761905,0.665191053122088,24.5245228170492
"83","Fleetwood Town",33,9,22,1.41774929944545,1.4276404404,1.31090839035455,1.32079953130909,12.3181818181818,12.1818181818182,4.31818181818182,15.1363636363636,15,4.09090909090909,17.0950504785183,18.5236807944514,400.909090909091,0.662471655328798,25.5469654047846
"96","Gillingham",30,12,21,1.34692681494286,1.34317491927143,1.04845062446667,1.23124634784286,12.4761904761905,12.0952380952381,3.95238095238095,12.6666666666667,12.5238095238095,3.47619047619048,16.7304609076847,17.7748650019475,352.47619047619,0.586463118076196,26.7908294869968
"101","Grimsby Town",28,15,22,1.68465014195909,0.997774713127273,1.43535468741364,0.962161076763636,14.1363636363636,13.8181818181818,4.54545454545455,9.77272727272727,9.72727272727273,3.31818181818182,17.8190736416898,17.536237224624,473,0.714587737843552,22.5840860674274
"110","Harrogate Town",17,23,21,0.9078569764,1.72261324955238,0.833237928780952,1.64799420193333,9.71428571428571,9.61904761904762,3.14285714285714,15.7619047619048,15.6666666666667,4.47619047619048,19.7752761545911,17.1110331275945,419.380952380952,0.660951515839673,24.1188238843238
"129","Milton Keynes Dons",39,4,22,1.33790734185455,1.1211213944,1.1954527964,1.04989412167273,11.9090909090909,11.7272727272727,4.31818181818182,10.2272727272727,10.1363636363636,3.40909090909091,16.9343538918978,17.9029213218924,407.363636363636,0.654429814773488,23.8709903591609
"138","Newport County AFC",13,24,21,1.01257697689524,1.58612280204286,0.93795792927619,1.43688470680476,10.1904761904762,10.0952380952381,3.33333333333333,14.5714285714286,14.3809523809524,4.66666666666667,18.8680541202638,17.1621768872227,413.333333333333,0.698502304147465,24.7455205511083
"144","Notts County",38,5,22,1.11236451297727,1.07584540278636,1.04113724025,1.00461813005909,10.4090909090909,10.3181818181818,4.04545454545455,10.0454545454545,9.95454545454546,3.31818181818182,18.1433132425731,17.7467543415667,500.590909090909,0.751203123581222,21.7111181253319
"150","Oldham Athletic",28,14,22,1.41188090188182,1.14663050587727,1.34065362915455,1.07540323315,14.4090909090909,14.3181818181818,4.27272727272727,12.2272727272727,12.1363636363636,3.27272727272727,17.55027165824,17.9731818244595,386.772727272727,0.626395581149371,25.608631739859
"164","Salford City",36,7,21,1.64030016150952,1.40393646933333,1.4537525424619,1.25469837409524,14.1904761904762,13.952380952381,4.76190476190476,12.2857142857143,12.0952380952381,4.19047619047619,17.9214866879068,16.7115752853854,386.761904761905,0.639251415907412,25.3402873903041
"168","Shrewsbury Town",19,21,22,0.880230126890909,1.20835969334091,0.880230126890909,1.10151878425,11.7272727272727,11.7272727272727,2.90909090909091,12.2272727272727,12.0909090909091,4.13636363636364,18.6526708396867,18.7474805819991,382.772727272727,0.636028975181095,26.0029017893124
"189","Swindon Town",40,3,22,1.39650586681364,1.18421072121818,1.32527859408636,1.14859708485455,12.5454545454545,12.4545454545455,4.5,11.4090909090909,11.3636363636364,3.5,17.9442379759645,17.8598145865051,457.5,0.701241927471436,24.6188890091297
"197","Tranmere Rovers",29,13,22,1.11368464740909,1.44158169936364,1.04245737468182,1.29912715390909,12.1818181818182,12.0909090909091,3.5,14.0454545454545,13.8636363636364,4.27272727272727,18.8287429350632,17.5086967256839,409.409090909091,0.658709892305984,25.122520668258
"203","Walsall",40,2,21,1.10203602582857,0.948871988166667,1.10203602582857,0.874252940547619,11,11,4,11.1904761904762,11.0952380952381,3.14285714285714,17.2534459983742,18.0898972829715,319.142857142857,0.599224112205312,27.1888860026708
