"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"2","Accrington Stanley",46,13,31,1.08729170984839,1.29603880224839,1.01146912920323,1.22021622160323,12.7096774193548,12.6129032258065,4.32258064516129,12.0967741935484,12,3.87096774193548,19.4526269542707,17.1218337136,405.677419354839,0.619910941475827,24.7094712150127
"14","Barnet",47,11,32,1.59677308130625,0.998123558490625,1.44986683130625,0.924670433490625,14.3125,14.125,4.875,9.46875,9.375,3.125,16.4590963052441,18.2085711723497,463.71875,0.701394972707056,23.1741043237887
"20","Barrow",27,22,32,1.14554372232187,1.4784137506,1.12105934732188,1.4294450006,10.96875,10.9375,3.1875,14.09375,14.03125,4.90625,17.0571323421799,18.0846702224212,408.6875,0.663786511699037,24.2795440061401
"35","Bristol Rovers",30,20,33,1.14731411798182,1.36325525692727,1.09982926949697,1.1970582872303,11.3636363636364,11.3030303030303,2.93939393939394,11.3939393939394,11.1818181818182,4.03030303030303,16.9061411940947,17.181771374555,406.030303030303,0.658258078961117,25.1971325606724
"38","Bromley",64,1,32,1.38437449786875,1.19926472554687,1.31092137286875,1.15029597554687,13.28125,13.1875,4.34375,10.90625,10.84375,3.71875,16.8105048933241,17.328220182585,333.84375,0.52550781615651,27.368058357409
"42","Cambridge United",60,3,32,1.34408481365312,0.899922950846875,1.24614731365312,0.777501075846875,11.3125,11.1875,3.53125,8.28125,8.125,3,16.2588307211941,18.1045031633361,425.4375,0.646907595122668,24.7745314946577
"48","Cheltenham Town",32,18,31,0.899222044870968,1.56371665709355,0.848673657774193,1.43734568935161,10.1935483870968,10.1290322580645,2.93548387096774,15.5483870967742,15.3870967741935,5.32258064516129,20.1247354678883,17.6952004919853,404.838709677419,0.667808764940239,24.9946575163586
"51","Chesterfield",53,7,33,1.35276918693939,1.30392549315152,1.32902676269697,1.13772852345455,11.6969696969697,11.6666666666667,3.90909090909091,11.1212121212121,10.9090909090909,3.75757575757576,16.7165038017059,16.9850027649248,505.787878787879,0.739021029297226,23.0833139014319
"56","Colchester United",46,12,31,1.39390203457419,0.955269716841936,1.26753106683226,0.929995523293548,11.6774193548387,11.5161290322581,3.87096774193548,10.6774193548387,10.6451612903226,3.06451612903226,17.7448324063376,17.6065228459636,466.41935483871,0.737948682481499,22.6684411982779
"62","Crawley Town",28,21,34,1.28433436421765,1.38198849412353,1.16911377598235,1.28981202353529,13.6764705882353,13.5294117647059,4.26470588235294,12.5882352941176,12.4705882352941,4.55882352941176,18.5443220738794,17.5374428697933,479.911764705882,0.734816449102163,22.84937649161
"65","Crewe Alexandra",53,6,34,1.23647398828235,1.31258207632353,1.12125340004706,1.24344972338235,11.8823529411765,11.7352941176471,3.67647058823529,14.0882352941176,14,4.20588235294118,17.9340725180228,18.0421576290359,420.676470588235,0.680836188212263,24.2661121962665
"81","Fleetwood Town",44,14,32,1.3101946251875,1.33920351500938,1.2122571251875,1.24126601500938,12.125,12,4.15625,13.78125,13.65625,3.71875,17.43934758706,18.2206309467496,410.90625,0.65761654878698,25.1384414514944
"93","Gillingham",41,16,32,1.41628313484063,1.29448782124688,1.14695500984062,1.19655032124688,13.625,13.28125,4.4375,12.90625,12.78125,3.75,17.0714500170637,17.9099841309812,372.875,0.609872611464968,26.0307068478629
