"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"2","Accrington Stanley",30,14,23,1.1999619564,1.28470593289565,1.09776630422609,1.18251028072174,12.8695652173913,12.7391304347826,4,11.304347826087,11.1739130434783,3.73913043478261,18.6745829011435,17.3546482826659,406.260869565217,0.614190924657534,24.7496069319777
"19","Barnet",32,13,23,1.62551412558261,1.00975934851304,1.45518803862609,0.90756369633913,14.304347826087,14.0869565217391,4.91304347826087,9.56521739130435,9.43478260869565,2.95652173913043,16.1894198267186,18.8914438084311,441,0.681948141575471,23.4880755245637
"23","Barrow",21,19,22,1.14207908557273,1.53684747476364,1.14207908557273,1.46562020203636,11,11,3,14.7727272727273,14.6818181818182,5.09090909090909,16.9877984353012,18.2988005363333,401.272727272727,0.662890801993657,24.5661879207408
"35","Bristol Rovers",18,22,23,1.14236870360435,1.34289494834348,1.10830348621304,1.17256886138696,11.1304347826087,11.0869565217391,2.56521739130435,11.8260869565217,11.6086956521739,4.1304347826087,16.6800671097661,17.2474976076871,419.608695652174,0.675474044140504,24.8837680375754
"41","Bromley",42,2,22,1.42812512516818,1.23441677159091,1.35689785244091,1.19880313522727,13.4545454545455,13.3636363636364,4.27272727272727,10.3181818181818,10.2727272727273,3.36363636363636,16.7130792259784,16.7697552641001,338.590909090909,0.536582091555914,27.4052756748154
"43","Cambridge United",35,8,22,1.20667805281818,0.810335967063636,1.17106441645455,0.739108694336364,11.2272727272727,11.1818181818182,3.36363636363636,8.18181818181818,8.09090909090909,3.09090909090909,16.7462685902858,18.2563529359806,404.136363636364,0.630187830390282,25.0643019943336
"49","Cheltenham Town",27,18,22,0.798108846036364,1.6286930127,0.762495209672727,1.45062483088182,9.81818181818182,9.77272727272727,2.77272727272727,16.1363636363636,15.9090909090909,5.22727272727273,20.5322136007679,17.6786903184537,392.454545454545,0.654389622422979,25.2513074280947
"55","Chesterfield",38,7,22,1.29595843657273,1.40713120525,1.26034480020909,1.22906302343182,11.5,11.4545454545455,3.90909090909091,10.8636363636364,10.6363636363636,4.13636363636364,16.8459497021464,16.8997172296126,516.409090909091,0.748173576269695,22.9351525623317
"59","Colchester United",33,10,23,1.46456253698261,1.00658867956087,1.32830166741739,0.972523462169565,11.6521739130435,11.4782608695652,4.26086956521739,11.1304347826087,11.0869565217391,3.34782608695652,17.4769576399273,17.6382999494478,442.478260869565,0.72958632209885,23.1568482843323
"62","Crawley Town",19,20,22,1.45450178769091,1.33784535418182,1.27643360587273,1.23100444509091,14.0909090909091,13.8636363636364,4.45454545454545,12.1363636363636,12,4.59090909090909,18.1982324169661,17.4732890585932,494.181818181818,0.7560706401766,22.1942387104038
"64","Crewe Alexandra",32,11,22,1.30924327560909,1.26494571835455,1.13117509379091,1.15810480926364,12.4090909090909,12.1818181818182,4.04545454545455,13.3181818181818,13.1818181818182,4.36363636363636,17.8517323512518,18.1139259200566,417.272727272727,0.67363834422658,24.4568261287091
"84","Fleetwood Town",34,9,23,1.38931127183043,1.45672573881739,1.28711561965652,1.35453008664348,12.3913043478261,12.2608695652174,4.34782608695652,15.1739130434783,15.0434782608696,4.04347826086957,17.3582184660153,18.3496680649286,399.304347826087,0.65962543554007,25.4579251818598
"94","Gillingham",32,12,23,1.33486118781304,1.32197991978261,1.0282742312913,1.18571905021739,12.695652173913,12.304347826087,4,12.3913043478261,12.2173913043478,3.43478260869565,16.9838688494934,17.841996255727,351.521739130435,0.586147186147186,26.7452999211812
"98","Grimsby Town",28,17,22,1.68465014195909,0.997774713127273,1.43535468741364,0.962161076763636,14.1363636363636,13.8181818181818,4.54545454545455,9.77272727272727,9.72727272727273,3.31818181818182,17.8190736416898,17.536237224624,473,0.714587737843552,22.5840860674274
"107","Harrogate Town",17,23,23,0.882266318073913,1.80747463893478,0.814135883291304,1.67121376936957,9.65217391304348,9.56521739130435,3.08695652173913,16.6086956521739,16.4347826086957,4.82608695652174,19.8457770454005,17.2884189370471,416.260869565217,0.650407353248381,24.2107438843994
"126","Milton Keynes Dons",40,3,23,1.35414526793043,1.09740554621739,1.21788439836522,1.02927511143478,11.8260869565217,11.6521739130435,4.26086956521739,10.3478260869565,10.2608695652174,3.39130434782609,17.0190386028075,18.0501756395845,409.608695652174,0.656830485086509,23.8676165586243
"132","Newport County AFC",14,24,22,0.992024413995454,1.55562412620909,0.920797141268182,1.41316958075455,10.1363636363636,10.0454545454545,3.27272727272727,14.5454545454545,14.3636363636364,4.54545454545455,18.8076588220422,17.0492361349568,409.272727272727,0.694247001332741,24.8537914686384
"138","Notts County",39,6,23,1.08902939876957,1.10347732621304,1.02089896398696,1.03534689143043,10.5217391304348,10.4347826086957,4,10.0434782608696,9.95652173913044,3.30434782608696,18.2752199890272,17.8113008215267,494.869565217391,0.748023194517659,21.7951786956844
"144","Oldham Athletic",28,16,22,1.41188090188182,1.14663050587727,1.34065362915455,1.07540323315,14.4090909090909,14.3181818181818,4.27272727272727,12.2272727272727,12.1363636363636,3.27272727272727,17.55027165824,17.9731818244595,386.772727272727,0.626395581149371,25.608631739859
"155","Salford City",40,5,23,1.71237091700435,1.34635558778696,1.50797961265652,1.21009471822174,14.7391304347826,14.4782608695652,4.8695652173913,12.2173913043478,12.0434782608696,4.1304347826087,17.7193474224772,17.0112779104607,390.391304347826,0.635816906114267,25.2444731244069
"159","Shrewsbury Town",19,21,22,0.880230126890909,1.20835969334091,0.880230126890909,1.10151878425,11.7272727272727,11.7272727272727,2.90909090909091,12.2272727272727,12.0909090909091,4.13636363636364,18.6526708396867,18.7474805819991,382.772727272727,0.636028975181095,26.0029017893124
"179","Swindon Town",40,4,22,1.39650586681364,1.18421072121818,1.32527859408636,1.14859708485455,12.5454545454545,12.4545454545455,4.5,11.4090909090909,11.3636363636364,3.5,17.9442379759645,17.8598145865051,457.5,0.701241927471436,24.6188890091297
"187","Tranmere Rovers",29,15,22,1.11368464740909,1.44158169936364,1.04245737468182,1.29912715390909,12.1818181818182,12.0909090909091,3.5,14.0454545454545,13.8636363636364,4.27272727272727,18.8287429350632,17.5086967256839,409.409090909091,0.658709892305984,25.122520668258
"191","Walsall",43,1,22,1.12868571070909,0.923939110145454,1.12868571070909,0.852711837418182,11.1363636363636,11.1363636363636,4.04545454545455,11.0454545454545,10.9545454545455,3.09090909090909,17.1754938221953,18.1897992954834,322,0.60446075663467,27.0793483893139
