"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"3","Accrington Stanley",9,19,8,0.9560837018875,1.139686487025,0.8581462018875,1.041748987025,10.875,10.75,3.75,11.125,11,3,18.9363574971455,18.1200857386722,375.25,0.599933377748168,25.7462715431046
"21","Barnet",14,15,10,1.40629816622,1.27724254243,1.32794816622,1.04219254243,13.7,13.6,4.5,9.6,9.3,3.2,16.3885785140686,19.5871837924185,456.2,0.70604997807979,22.8655677434568
"27","Barrow",12,17,10,1.09278114381,1.3722350962,1.09278114381,1.3722350962,11.6,11.6,2.8,14.3,14.3,4.3,17.5943201399245,18.7170427961315,374.2,0.65847140566542,24.9375566446553
"44","Bristol Rovers",17,6,10,1.31648804561,1.25791055263,1.23813804561,1.17956055263,11,10.9,2.6,12,11.9,3.5,15.3252521328749,16.5209687216997,370.8,0.65210355987055,25.9293676727724
"50","Bromley",14,14,10,1.51744495093,1.08562872171,1.43909495093,1.00727872171,14.7,14.6,3.8,10.9,10.8,3.8,17.2352336667089,17.2265108421361,354.4,0.579006772009029,27.1712185388544
"54","Cambridge United",15,10,10,1.2163599991,0.72619128889,1.2163599991,0.64784128889,13.2,13.2,3.2,7.1,7,3,17.1252037610861,18.568881285703,430.6,0.653506734788667,24.496102887046
"61","Cheltenham Town",4,24,9,0.629034457711111,1.93756424425556,0.629034457711111,1.67639757758889,9.33333333333333,9.33333333333333,2.66666666666667,16.8888888888889,16.5555555555556,5.66666666666667,20.972174944324,17.8805028285438,350.555555555556,0.586687797147385,26.5128806130491
"67","Chesterfield",18,5,10,1.32160835756,1.03182526168,1.32160835756,0.79677526168,11.9,11.9,4.2,8,7.7,3.1,16.5849614013982,17.1279574416496,541.2,0.77180339985218,22.5639723319752
"72","Colchester United",8,20,10,1.03886561542,1.31949855092,0.96051561542,1.31949855092,10.9,10.8,3.7,12.5,12.5,3.8,18.8452064087001,16.2256430571696,471.3,0.748992149374072,22.8522586441014
"77","Crawley Town",8,21,10,1.25351930451,1.40077344269,1.09681930451,1.32242344269,13.4,13.2,3.8,13.9,13.8,4.6,17.83283256029,17.7845197818228,439.4,0.726672735548475,23.4043316475899
"80","Crewe Alexandra",16,7,10,1.44127015952,1.35216716082,1.20622015952,1.19546716082,12.2,11.9,4.3,13.1,12.9,4.8,17.6270139737944,18.1739464720896,399.9,0.662665666416604,25.0861725085146
"103","Fleetwood Town",15,11,10,1.40251242702,1.59492899073,1.32416242702,1.43822899073,12.3,12.2,4.3,16,15.8,4.1,17.116698997395,17.6982312347482,415.9,0.701370521760038,25.2022372854532
"115","Gillingham",21,2,10,1.26009955516,1.01986759057,0.94669955516,0.94151759057,11.2,10.8,3.4,10.1,10,3,17.0362453074945,17.5044471707316,357.8,0.600614868641699,26.9259362388904
"120","Grimsby Town",15,9,9,1.83152900677778,0.980066852966667,1.48330678455556,0.893011297411111,14,13.5555555555556,4.44444444444444,10.4444444444444,10.3333333333333,3.22222222222222,17.3383434131983,17.7312037505179,479.777777777778,0.726030569708198,22.7765399762969
"130","Harrogate Town",14,16,10,0.94264411294,1.72367781973,0.86429411294,1.72367781973,10.4,10.3,3.9,16.2,16.2,3.8,20.4847148362392,16.3222259046201,391.8,0.641398672792241,24.5729280115467
"155","Milton Keynes Dons",15,8,10,1.06408515006,0.92722139447,0.98573515006,0.84887139447,10.9,10.8,3.5,10.1,10,3.7,16.5151752682086,18.2759095898114,425.1,0.67419430722183,24.1538451185133
"163","Newport County AFC",5,22,10,1.1068396917,1.72290790993,0.9501396917,1.40950790993,9.7,9.5,3.3,14.4,14,4.4,17.4079134242649,16.3754490416608,378.9,0.673792557403009,25.2596116082396
"171","Notts County",14,12,10,1.1026210511,1.06690916804,1.0242710511,0.98855916804,10.6,10.5,4.5,9.8,9.7,3.1,18.1246340445366,17.3696200554208,500.6,0.766480223731522,21.1450207579465
"177","Oldham Athletic",14,13,10,1.65629119656,0.9557789709,1.49959119656,0.8774289709,13.9,13.7,3.9,11.2,11.1,2.6,16.877199080345,17.1699979688009,366.7,0.628579220070903,25.8271604784456
"192","Salford City",19,4,10,1.55572412898,1.55592807534,1.32067412898,1.47757807534,14.1,13.8,5,12.6,12.5,3.9,17.7674160639284,16.1149291251662,383,0.639164490861619,25.4743509618929
"197","Shrewsbury Town",5,23,10,0.9279934719,1.06321219757,0.9279934719,1.06321219757,11.7,11.7,2.8,11.5,11.5,5.1,17.7652827542485,18.9674033449186,387.1,0.659519504004133,25.857565478636
"222","Swindon Town",21,1,10,1.63787466986,1.11288400039,1.55952466986,1.11288400039,13.4,13.3,5.3,10.6,10.6,3.9,17.2190361630012,17.4199580180837,448.2,0.71396697902722,24.7299972951562
"231","Tranmere Rovers",10,18,9,0.9916439453,1.21948121671111,0.9916439453,1.13242566115556,11.5555555555556,11.5555555555556,3,13.2222222222222,13.1111111111111,3.55555555555556,18.5597740959982,17.7593787869479,408.333333333333,0.677278911564626,25.2483465738776
"236","Walsall",19,3,9,0.978259246488889,0.901854602577778,0.978259246488889,0.814799047022222,10,10,3.33333333333333,11.7777777777778,11.6666666666667,2.88888888888889,16.6239824447041,18.0763671261295,307,0.601520086862106,27.1559623560984
